Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,115,2,PN1098,"January 3, 2018,  05:28 PM",On the Nomination PN1098,"Confirmation John C. Rood, of Arizona, to be Under Secretary of Defense for Policy","John C. Rood, of Arizona, to be Under Secretary of Defense for Policy",Nomination Confirmed (81-7),'1/2',40,0,0,11,40,6,0,1,1,1,0,0,81,7,0,12,
2,115,2,PN748,"January 8, 2018,  05:32 PM",On the Cloture Motion PN748,"Motion to Invoke Cloture: William L. Campbell, Jr., to be a U.S. Circuit Judge for the Middle District of Tennessee","William L. Campbell, Jr., of Tennessee, to be United States District Judge for the Middle District of Tennessee",Cloture Motion Agreed to (89-1),'1/2',43,0,0,8,44,1,0,2,2,0,0,0,89,1,0,10,
3,115,2,PN748,"January 9, 2018,  02:17 PM",On the Nomination PN748,"Confirmation William L. Campbell, Jr., of Tennessee, to be U.S. District Judge for the Middle District of Tennessee","William L. Campbell, Jr., of Tennessee, to be United States District Judge for the Middle District of Tennessee",Nomination Confirmed (97-0),'1/2',48,0,0,3,47,0,0,0,2,0,0,0,97,0,0,3,
4,115,2,PN752,"January 9, 2018,  02:45 PM",On the Cloture Motion PN752,Motion to Invoke Cloture: Thomas Lee Robinson Parker to be U.S. District Judge for the Western District of Tennessee,"Thomas Lee Robinson Parker, of Tennessee, to be United States District Judge for the Western District of Tennessee",Cloture Motion Agreed to (96-1),'1/2',48,0,0,3,46,1,0,0,2,0,0,0,96,1,0,3,
5,115,2,PN752,"January 10, 2018,  02:29 PM",On the Nomination PN752,"Confirmation Thomas Lee Robinson Parker, of Tennessee, to be U.S. District Judge for the Western District of Tennessee","Thomas Lee Robinson Parker, of Tennessee, to be United States District Judge for the Western District of Tennessee",Nomination Confirmed (98-0),'1/2',50,0,0,1,46,0,0,1,2,0,0,0,98,0,0,2,
6,115,2,PN747,"January 10, 2018,  02:59 PM",On the Cloture Motion PN747,"Motion to Invoke Cloture: Michael Lawrence Brown, of Georgia, to be U.S. District Judge for the Northern District of Georgia","Michael Lawrence Brown, of Georgia, to be United States District Judge for the Northern District of Georgia",Cloture Motion Agreed to (97-1),'1/2',50,0,0,1,45,1,0,1,2,0,0,0,97,1,0,2,
7,115,2,PN747,"January 11, 2018,  12:04 PM",On the Nomination PN747,"Confirmation Michael Lawrence Brown, of Georgia, to be United States District Judge for the Northern District of Georgia","Michael Lawrence Brown, of Georgia, to be United States District Judge for the Northern District of Georgia",Nomination Confirmed (92-0),'1/2',45,0,0,6,45,0,0,2,2,0,0,0,92,0,0,8,
8,115,2,PN1015,"January 11, 2018,  12:41 PM",On the Cloture Motion PN1015,"Motion to Invoke Cloture on the Nomination of Walter David Counts, III, of Texas, to be United States District Judge for the Western District of Texas.","Walter David Counts III, of Texas, to be United States District Judge for the Western District of Texas",Cloture Motion Agreed to (90-1),'1/2',45,0,0,6,44,1,0,2,1,0,0,1,90,1,0,9,
9,115,2,PN1015,"January 11, 2018,  01:37 PM",On the Nomination PN1015,"Confirmation Walter David Counts, III, of Texas, to be United States District Judge for the Western District of Texas","Walter David Counts III, of Texas, to be United States District Judge for the Western District of Texas",Nomination Confirmed (96-0),'1/2',48,0,0,3,46,0,0,1,2,0,0,0,96,0,0,4,
10,115,2,S. 139,"January 11, 2018,  02:08 PM",On the Motion to Proceed S. 139,Motion to Proceed to the House Message to Accompany S. 139,"A bill to implement the use of Rapid DNA instruments to inform decisions about pretrial release or detention and their conditions, to solve and prevent violent crimes and other crimes, to exonerate the innocent, to prevent DNA analysis backlogs, and for other purposes.",Motion to Proceed Agreed to (68-27),'1/2',42,5,0,4,25,21,0,1,1,1,0,0,68,27,0,5,
11,115,2,S. 139,"January 16, 2018,  05:45 PM",On the Cloture Motion S. 139,Motion to Invoke Cloture: Motion to Concur in the House Amdt. to S. 139,"A bill to implement the use of Rapid DNA instruments to inform decisions about pretrial release or detention and their conditions, to solve and prevent violent crimes and other crimes, to exonerate the innocent, to prevent DNA analysis backlogs, and for other purposes.","Cloture Motion Agreed to (60-38, 3/5 majority required)",'3/5',41,8,0,2,18,29,0,0,1,1,0,0,60,38,0,2,
12,115,2,S. 139,"January 18, 2018,  12:18 PM",On the Motion (Motion to Concur in the House Amendment to S. 139),Motion to Concur in the House Amendment to S. 139,"A bill to implement the use of Rapid DNA instruments to inform decisions about pretrial release or detention and their conditions, to solve and prevent violent crimes and other crimes, to exonerate the innocent, to prevent DNA analysis backlogs, and for other purposes.",Motion Agreed to (65-34),'1/2',43,7,0,1,21,26,0,0,1,1,0,0,65,34,0,1,
13,115,2,H.R. 195,"January 18, 2018,  08:50 PM",On the Motion to Proceed H.R. 195,Motion to Proceed to the House Message to Accompany H.R. 195,"A bill to amend title 44, United States Code, to restrict the distribution of free printed copies of the Federal Register to Members of Congress and other officers and employees of the United States, and for other purposes.",Motion to Proceed Agreed to (97-2),'1/2',48,2,0,1,47,0,0,0,2,0,0,0,97,2,0,1,
14,115,2,H.R. 195,"January 19, 2018,  10:14 PM",On the Cloture Motion H.R. 195,Motion to Invoke Cloture: House Amendment to the Senate Amendment to H.R. 195,"A bill to amend title 44, United States Code, to restrict the distribution of free printed copies of the Federal Register to Members of Congress and other officers and employees of the United States, and for other purposes.","Cloture Motion Rejected (50-49, 3/5 majority required)",'3/5',45,5,0,1,5,42,0,0,0,2,0,0,50,49,0,1,
15,115,2,H.R. 195,"January 20, 2018,  12:36 AM",On the Motion to Table H.R. 195,Motion to Table the Motion to Refer H.R. 195 to the Committee on Appropriations with Instructions,"A bill to amend title 44, United States Code, to restrict the distribution of free printed copies of the Federal Register to Members of Congress and other officers and employees of the United States, and for other purposes.",Motion to Table Agreed to (55-44),'1/2',50,0,0,1,5,42,0,0,0,2,0,0,55,44,0,1,
16,115,2,H.R. 195,"January 22, 2018,  12:30 PM",On the Cloture Motion H.R. 195,Motion to Invoke Cloture: Motion to Concur in the House Amendment to the Senate Amendment to H.R. 195 with Further Amendment,"A bill to amend title 44, United States Code, to restrict the distribution of free printed copies of the Federal Register to Members of Congress and other officers and employees of the United States, and for other purposes.","Cloture Motion Agreed to (81-18, 3/5 majority required)",'3/5',48,2,0,1,32,15,0,0,1,1,0,0,81,18,0,1,
17,115,2,H.R. 195,"January 22, 2018,  04:05 PM",On the Motion (Motion to Concur in the House Amendment to the Senate Amendment  with Further Amendment),Motion to Concur in the House Amendment to the Senate Amendment  with Further Amendment,"A bill to amend title 44, United States Code, to restrict the distribution of free printed copies of the Federal Register to Members of Congress and other officers and employees of the United States, and for other purposes.",Motion Agreed to (81-18),'1/2',48,2,0,1,32,15,0,0,1,1,0,0,81,18,0,1,
18,115,2,PN1353,"January 23, 2018,  02:33 PM",On the Cloture Motion PN1353,"Motion to Invoke Cloture Re: Jerome H. Powell, to be Chairman of the Board of Governors of the Federal Reserve System","Jerome H. Powell, of Maryland, to be Chairman of the Board of Governors of the Federal Reserve System for a term of four years",Cloture Motion Agreed to (84-12),'1/2',44,3,0,4,39,8,0,0,1,1,0,0,84,12,0,4,
19,115,2,PN1353,"January 23, 2018,  05:12 PM",On the Nomination PN1353,"Confirmation Jerome H. Powell, of Maryland, to be Chairman of the Board of Governors of the Federal Reserve System","Jerome H. Powell, of Maryland, to be Chairman of the Board of Governors of the Federal Reserve System for a term of four years",Nomination Confirmed (84-13),'1/2',44,4,0,3,39,8,0,0,1,1,0,0,84,13,0,3,
20,115,2,PN1371,"January 23, 2018,  05:40 PM",On the Cloture Motion PN1371,Motion to Invoke Cloture Re: Alex Michael Azar to be Secretary of Health and Human Services,"Alex Michael Azar II, of Indiana, to be Secretary of Health and Human Services",Cloture Motion Agreed to (54-43),'1/2',47,1,0,3,6,41,0,0,1,1,0,0,54,43,0,3,
21,115,2,PN1371,"January 24, 2018,  02:17 PM",On the Nomination PN1371,"Confirmation Alex Michael Azar II, of Indiana, to be Secretary of Health and Human Services","Alex Michael Azar II, of Indiana, to be Secretary of Health and Human Services",Nomination Confirmed (55-43),'1/2',48,1,0,2,6,41,0,0,1,1,0,0,55,43,0,2,
22,115,2,PN1341,"January 24, 2018,  02:51 PM",On the Cloture Motion PN1341,Motion to Invoke Cloture Re: Samuel Dale Brownback to be Ambassador at Large for International Religious Freedom,"Samuel Dale Brownback, of Kansas, to be Ambassador at Large for International Religious Freedom","Cloture Motion Agreed to (49-49, Vice President voted Yea)",'1/2',49,0,0,2,0,47,0,0,0,2,0,0,49,49,0,2,Yea
