Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,101,2,H.R. 2712,"January 25, 1990,  02:31 PM",On Overriding the Veto H.R. 2712,Veto Override,"A bill to facilitate the adjustment or change of status of Chinese nationals in the United States by waiving the 2-year foreign residence requirement for ""J"" nonimmigrants and by treating nonimmigrants, whose departure has been deferred by the Attorney General, as remaining in legal nonimmigrant status for purposes of adjustment or change of status.","Veto Sustained (62-37, 2/3 majority required)",'2/3',8,37,0,0,54,0,0,1,0,0,0,0,62,37,0,1,
2,101,2,H.R. 3792,"January 30, 1990,  05:02 PM",On Passage of the Bill H.R. 3792,H.R.3792,"A bill to authorize appropriations for fiscal year 1990 and 1991 for the Department of State, and for other purposes.",Bill Passed (98-0),'1/2',44,0,0,1,54,0,0,1,0,0,0,0,98,0,0,2,
3,101,2,,"January 31, 1990,  05:30 PM",On the Amendment S.Amdt. 1219 to S. 1630 (Clean Air Act Amendments of 1990 Clean Air Employment Transition Act),Chafee Amdt. No. 1219,To amend title VII to control methyl chloroform pollution.,Amendment Agreed to (95-2),'1/2',41,2,0,2,54,0,0,1,0,0,0,0,95,2,0,3,
4,101,2,S. 1310,"February 6, 1990,  11:59 AM",On Passage of the Bill S. 1310,S.1310,"A bill to eliminate illiteracy by the year 2000, to strengthen and coordinate literacy programs, and for other purposes.",Bill Passed (99-0),'1/2',44,0,0,1,55,0,0,0,0,0,0,0,99,0,0,1,
5,101,2,S. 169,"February 6, 1990,  02:16 PM",On Passage of the Bill S. 169,S. 169,"A bill to amend the National Science and Technology Policy, Organization, and Priorities Act of 1976 in order to provide for improved coordination of national scientific research efforts and to provide for a national plan to improve scientific understanding of the Earth system and the effect of changes in that system on climate and human well-being.",Bill Passed (100-0),'1/2',45,0,0,0,55,0,0,0,0,0,0,0,100,0,0,0,
6,101,2,,"February 6, 1990,  05:25 PM",On the Amendment S.Amdt. 1236 to S. 695 (Equity and Excellence in Education Act of 1990),Helms Amdt. No. 1236,To strike title 10.,Amendment Rejected (35-64),'1/2',35,10,0,0,0,54,0,1,0,0,0,0,35,64,0,1,
7,101,2,,"February 6, 1990,  06:16 PM",On the Motion to Table S.Amdt. 1241 to S.Amdt. 1239 to S. 695 (Equity and Excellence in Education Act of 1990),Motion to Table Amdt. No. 1241,To authorize funds through fiscal year 1993 to assist States in establishing competency standards for teachers.,Motion to Table Agreed to (60-37),'1/2',7,37,0,1,53,0,0,2,0,0,0,0,60,37,0,3,
8,101,2,,"February 6, 1990,  06:42 PM",On the Amendment S.Amdt. 1239 to S. 695 (Equity and Excellence in Education Act of 1990),Kassebaum Amdt. No. 1239,To establish a Voluntary Teacher Assessment and Certification Research and Development Program.,Amendment Rejected (40-57),'1/2',40,4,0,1,0,53,0,2,0,0,0,0,40,57,0,3,
9,101,2,,"February 7, 1990,  11:33 AM",On the Motion to Table S.Amdt. 1245 to S. 695 (Equity and Excellence in Education Act of 1990),Motion to Table Amdt. No. 1245,To establish a Healthy Start Demonstration Grant program.,Motion to Table Agreed to (51-49),'1/2',3,42,0,0,48,7,0,0,0,0,0,0,51,49,0,0,
10,101,2,S. 695,"February 7, 1990,  03:01 PM",On Passage of the Bill S. 695,S. 695,"A bill to promote excellence in American education by recognizing and rewarding schools, teachers, and students for their outstanding achievements; enhancing parental choice; encouraging the study of science, mathematics, and engineering, and for other purposes.",Bill Passed (92-8),'1/2',37,8,0,0,55,0,0,0,0,0,0,0,92,8,0,0,
11,101,2,,"February 8, 1990,  02:15 PM",On the Amendment S.Amdt. 1250 to S. 419 (Hate Crime Statistics Act),Hatch Amdt. No. 1250,To prohibit the use of funds to promote or encourage homosexuality.,Amendment Agreed to (96-0),'1/2',43,0,0,2,53,0,0,2,0,0,0,0,96,0,0,4,
12,101,2,,"February 8, 1990,  03:06 PM",On the Amendment S.Amdt. 1251 to S. 419 (Hate Crime Statistics Act),Helms Amdt. No. 1251,To provide that it is the sense of the Senate that homosexuality should not be promoted in any manner by the Federal or State government.,Amendment Rejected (19-77),'1/2',11,32,0,2,8,45,0,2,0,0,0,0,19,77,0,4,
13,101,2,H.R. 1048,"February 8, 1990,  03:28 PM",On Passage of the Bill H.R. 1048,Final Passage -- H.R. 1048,"A bill to provide for the acquisition and publication of data about crimes that manifest prejudice based on race, religion, homosexuality or heterosexuality, or ethnicity.",Bill Passed (92-4),'1/2',39,4,0,2,53,0,0,2,0,0,0,0,92,4,0,4,
14,101,2,Treaty Doc. 101-2,"February 20, 1990,  03:16 PM",On the Resolution of Ratification Treaty Doc. 101-2,Resolution of Ratification: ILO Convention,"The Convention (No. 160) Concerning Labor Statistics, adopted by the International Labor Conference at Geneva on June 25, 1985","Resolution of Ratification Agreed to (94-0, 2/3 majority required)",'2/3',43,0,0,2,51,0,0,4,0,0,0,0,94,0,0,6,
15,101,2,H.R. 2281,"February 20, 1990,  04:33 PM",On Passage of the Bill H.R. 2281,H.R.2281,A bill to amend the Elementary and Secondary Education Act of 1965 to extend the authorization for certain school dropout demonstration programs.,Bill Passed (94-0),'1/2',42,0,0,3,52,0,0,3,0,0,0,0,94,0,0,6,
16,101,2,S.J.Res. 212,"February 22, 1990,  01:46 PM",On the Cloture Motion S.J.Res. 212,Cloture Motion on S.J.Res. 212,"A joint resolution designating April 24, 1990, as ""National Day of Remembrance of the Seventy-Fifth Anniversary of the Armenian Genocide of 1915-1923"".","Cloture Motion Rejected (49-49, 3/5 majority required)",'3/5',26,18,0,1,23,31,0,1,0,0,0,0,49,49,0,2,
