Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,107,2,S. 1731,"January 23, 2002,  12:11 PM",On the Motion for Attendance S. 1731,Motion to Instruct Sergeant at Arms,"An original bill to strengthen the safety net for agricultural producers, to enhance resource conservation and rural development, to provide for farm credit, agricultural research, nutrition, and related programs, to ensure consumers abundant food and fiber, and for other purposes.",Motion for Attendance Agreed to (88-6),'1/2',41,5,0,3,46,1,0,3,1,0,0,0,88,6,0,6,
2,107,2,,"January 24, 2002,  04:21 PM",On the Motion (Motion to Waive CBA re: Emergency Designation re: Baucus Amendment No. 2701),Motion to Waive CBA re: Emergency Designation re: Baucus Amendment No. 2701,To provide for emergency agriculture assistance.,"Motion Rejected (57-33, 3/5 majority required)",'3/5',14,30,0,5,42,3,0,5,1,0,0,0,57,33,0,10,
3,107,2,,"January 25, 2002,  10:34 AM",On the Motion (Motion to Waive CBA re: Smith Amendment No. 2705),Motion to Waive CBA re: Smith Amendment No. 2705,"To amend the Internal Revenue Code of 1986 to provide for a special depreciation allowance for certain property acquired after September 10, 2001, and before September 11, 2004.","Motion Rejected (39-45, 3/5 majority required)",'3/5',39,1,0,9,0,43,0,7,0,1,0,0,39,45,0,16,
4,107,2,PN1000,"January 25, 2002,  11:13 AM",On the Nomination PN1000,"Confirmation: Marcia S. Krieger, of Colorado, to be U.S. District Judge","Marcia S. Krieger, of Colorado, to be United States District Judge for the District of Colorado",Nomination Confirmed (83-0),'1/2',39,0,0,10,43,0,0,7,1,0,0,0,83,0,0,17,
5,107,2,PN1002,"January 25, 2002,  11:37 AM",On the Nomination PN1002,"Confirmation: James C. Mahan, of Nevada, to be U.S. District Judge","James C. Mahan, of Nevada, to be United States District Judge for the District of Nevada",Nomination Confirmed (81-0),'1/2',38,0,0,11,42,0,0,8,1,0,0,0,81,0,0,19,
6,107,2,,"January 29, 2002,  11:33 AM",On the Motion (Motion to Waive CBA re: Durbin Amdt. 2714),Motion to Waive CBA re: Durbin Amdt. 2714,To provide enhanced unemployment compensation benefits.,"Motion Rejected (57-35, 3/5 majority required)",'3/5',10,34,0,5,46,1,0,3,1,0,0,0,57,35,0,8,
7,107,2,,"January 29, 2002,  12:21 PM",On the Amendment S.Amdt. 2717 to H.R. 622 (Economic Security and Worker Assistance Act of 2002),Bond Amendment No. 2717,To amend the Internal Revenue Code of 1986 to provide for a temporary increase in expensing under section 179 of such code.,Amendment Agreed to (90-2),'1/2',43,1,0,5,46,1,0,3,1,0,0,0,90,2,0,8,
8,107,2,,"January 29, 2002,  03:46 PM",On the Motion (Motion to Waive CBA re: Harkin Amdt. No. 2719),Motion to Waive CBA re: Harkin Amdt. No. 2719,To provide for a temporary increase in the Federal medical assistance percentage for the medicaid program for fiscal year 2002.,"Motion Rejected (54-41, 3/5 majority required)",'3/5',8,38,0,3,45,3,0,2,1,0,0,0,54,41,0,5,
9,107,2,,"January 29, 2002,  05:19 PM",On the Amendment S.Amdt. 2702 to H.R. 622 (Economic Security and Worker Assistance Act of 2002),Allen Amdt. No. 2702,To exclude from gross income certain terrorist attack zone compensation of civilian uniformed personnel.,Amendment Agreed to (92-2),'1/2',44,2,0,3,47,0,0,3,1,0,0,0,92,2,0,6,
10,107,2,,"January 29, 2002,  05:20 PM","On the Motion (Motion to Waive CBA re: Baucus Amdt. No. 2718, as modified)","Motion to Waive CBA re: Baucus Amdt. No. 2718, as modified","To amend the Internal Revenue Code of 1986 to provide for a special depreciation allowance for certain property acquired after December 31, 2001, and before January 1, 2004, and to increase the Federal medical assistance percentage under the medicaid program for calendar years 2002 and 2003.","Motion Agreed to (62-33, 3/5 majority required)",'3/5',27,19,0,3,34,14,0,2,1,0,0,0,62,33,0,5,
11,107,2,PN916,"February 4, 2002,  05:30 PM",On the Nomination PN916,"Confirmation: Callie V. Granade, of Alabama, to be U.S. District Judge","Callie V. Granade, of Alabama, to be United States District Judge for the Southern District of Alabama",Nomination Confirmed (75-0),'1/2',32,0,0,17,42,0,0,8,1,0,0,0,75,0,0,25,
12,107,2,PN1117,"February 5, 2002,  10:32 AM",On the Nomination PN1117,"Philip R. Martinez, of Texas, to be U.S. District Judge for the Western District","Philip R. Martinez, of Texas, to be United States District Judge for the Western District of Texas",Nomination Confirmed (93-0),'1/2',44,0,0,5,48,0,0,2,1,0,0,0,93,0,0,7,
13,107,2,,"February 6, 2002,  11:52 AM",On the Cloture Motion S.Amdt. 2698 to H.R. 622 (Economic Security and Worker Assistance Act of 2002),Motion to Invoke Cloture on Daschle Amdt. No.2698 to H.R. 622,"To provide incentives for an economic recovery, and for other purposes.","Cloture Motion Rejected (56-39, 3/5 majority required)",'3/5',7,38,0,4,49,1,0,0,0,0,0,1,56,39,0,5,
14,107,2,,"February 6, 2002,  12:20 PM",On the Cloture Motion S.Amdt. 2773 to H.R. 622 (Economic Security and Worker Assistance Act of 2002),Motion to Invoke Cloture on Grassley Amdt. No. 2773 to H.R. 622,To provide tax incentives for economic recovery and assistance to displaced workers.,"Cloture Motion Rejected (48-47, 3/5 majority required)",'3/5',43,2,0,4,5,45,0,0,0,0,0,1,48,47,0,5,
15,107,2,,"February 6, 2002,  04:25 PM","On the Amendment S.Amdt. 2602 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)","Wellstone Amdt. No. 2602, as modified",To insert in the environmental quality incentives program provisions relating to confined livestock feeding operations and to a payment limitation.,Amendment Rejected (44-52),'1/2',10,36,0,3,34,16,0,0,0,0,0,1,44,52,0,4,
16,107,2,,"February 6, 2002,  05:00 PM","On the Amendment S.Amdt. 2604 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)","Harkin Amdt. No. 2604, as amended","To apply the Packers and Stockyards Act, 1921, to livestock production contracts and to provide parties to the contract the right to discuss the contract with certain individuals.",Amendment Agreed to (82-14),'1/2',34,12,0,3,48,2,0,0,0,0,0,1,82,14,0,4,
17,107,2,,"February 7, 2002,  10:16 AM","On the Amendment S.Amdt. 2821 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)","Durbin Amdt. No. 2821, as modified",To restrict commodity and crop insurance payments to land that has a cropping history and to restore food stamp benefits to legal immigrants who have lived in the United States for 5 years or more.,Amendment Agreed to (96-1),'1/2',45,1,0,3,50,0,0,0,1,0,0,0,96,1,0,3,
18,107,2,,"February 7, 2002,  12:33 PM","On the Motion to Table S.Amdt. 2826 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Motion to Table Dorgan Amdt. No. 2826,To strengthen payment limitations for commodity payments and benefits and use the resulting savings to improve certain programs.,Motion to Table Failed (31-66),'1/2',14,32,0,3,16,34,0,0,1,0,0,0,31,66,0,3,
19,107,2,,"February 7, 2002,  03:09 PM","On the Amendment S.Amdt. 2827 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Lugar Amdt. No. 2827,To provide a complete substitute for the commodity title.,Amendment Rejected (11-85),'1/2',10,35,0,4,1,49,0,0,0,1,0,0,11,85,0,4,
20,107,2,,"February 7, 2002,  05:40 PM","On the Amendment S.Amdt. 2830 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Carnahan Amdt. No. 2830,"To permanently reenact the family farmer bankruptcy provisions (chapter 12 of title 11, United States Code).",Amendment Agreed to (93-0),'1/2',43,0,0,6,50,0,0,0,0,0,0,1,93,0,1,6,
21,107,2,PN881,"February 11, 2002,  06:00 PM",On the Nomination PN881,"Confirmation: Michael J. Melloy, of Iowa, to be U.S. Circuit Judge","Michael J. Melloy, of Iowa, to be United States Circuit Judge for the Eighth Circuit",Nomination Confirmed (91-0),'1/2',42,0,0,7,48,0,0,2,1,0,0,0,91,0,0,9,
22,107,2,PN1131,"February 11, 2002,  06:28 PM",On the Nomination PN1131,"Confirmation: Jay C. Zainey, of Louisianna, to be U.S. District Judge","Jay C. Zainey, of Louisiana, to be United States District Judge for the Eastern District of Louisiana",Nomination Confirmed (92-0),'1/2',43,0,0,6,48,0,0,2,1,0,0,0,92,0,0,8,
23,107,2,,"February 12, 2002,  10:27 AM",On the Motion to Table S.Amdt. 2837 to S.Amdt. 2835 to S.Amdt. 2471 to S. 1731,Motion to Table Grassley Amdt. No. 2837,"To make it unlawful for a packer to own, feed, or control livestock intended for slaughter.",Motion to Table Failed (46-53),'1/2',36,13,0,0,10,39,0,1,0,1,0,0,46,53,0,1,
24,107,2,,"February 12, 2002,  11:29 AM","On the Motion to Table S.Amdt. 2533 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Motion to Table Crapo Amdt. No. 2533,To strike the water conservation program.,Motion to Table Agreed to (55-45),'1/2',8,41,0,0,46,4,0,0,1,0,0,0,55,45,0,0,
25,107,2,,"February 12, 2002,  11:51 AM",On the Motion (Motion to Waive CBA re: Baucus Amdt No. 2839),Motion to Waive CBA re: Baucus Amdt No. 2839,To provide emergency agriculture assistance.,"Motion Agreed to (69-30, 3/5 majority required)",'3/5',20,28,0,1,48,2,0,0,1,0,0,0,69,30,0,1,
26,107,2,,"February 12, 2002,  05:48 PM",On the Amendment S.Amdt. 2856 to S.Amdt. 2845 to S.Amdt. 2471 to S. 1731,Harkin Amdt. No. 2856,Of a perfecting nature.,Amendment Rejected (17-80),'1/2',6,40,0,3,11,39,0,0,0,1,0,0,17,80,0,3,
27,107,2,,"February 13, 2002,  09:52 AM","On the Amendment S.Amdt. 2857 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Conrad Amdt. No. 2857,To express the Sense of the Senate that no Social Security surplus funds should be used to pay to make currently scheduled tax cuts permanent or for wasteful spending.,Amendment Agreed to (98-0),'1/2',47,0,0,2,50,0,0,0,1,0,0,0,98,0,0,2,
28,107,2,,"February 13, 2002,  10:18 AM","On the Amendment S.Amdt. 2850 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Kyl Amdt. No. 2850,To express the sense of the Senate that the repeal of the estate tax should be made permanent by eliminating the sunset provision's applicability to the estate tax.,Amendment Agreed to (56-42),'1/2',45,2,0,2,11,39,0,0,0,1,0,0,56,42,0,2,
29,107,2,,"February 13, 2002,  10:38 AM","On the Motion to Table S.Amdt. 2851 to S.Amdt. 2471 to S. 1731 (Agriculture, Conservation, and Rural Enhancement Act of 2001)",Motion to Table Domenici Amdt. No. 2851,To require the Secretary of Agriculture to make payments to milk producers.,Motion to Table Agreed to (56-42),'1/2',9,38,0,2,46,4,0,0,1,0,0,0,56,42,0,2,
30,107,2,H.R. 2646,"February 13, 2002,  12:31 PM",On Passage of the Bill H.R. 2646,"H.R. 2646, as amended","To provide for the continuation of agricultural programs through fiscal year 2007, and for other purposes.",Bill Passed (58-40),'1/2',9,38,0,2,48,2,0,0,1,0,0,0,58,40,0,2,
31,107,2,,"February 14, 2002,  12:18 PM","On the Amendment S.Amdt. 2879 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Reid Amdt. No. 2879,To secure the Federal voting rights of certain qualified persons who have served their sentences.,Amendment Rejected (31-63),'1/2',3,40,0,6,27,23,0,0,1,0,0,0,31,63,0,6,
32,107,2,,"February 14, 2002,  02:54 PM","On the Amendment S.Amdt. 2895 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Durbin Amdt. No. 2895,To eliminate the special treatment of punchcard voting systems under the voting systems standards.,Amendment Rejected (44-50),'1/2',0,45,0,4,43,5,0,2,1,0,0,0,44,50,0,6,
33,107,2,,"February 14, 2002,  05:26 PM","On the Amendment S.Amdt. 2890 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Lieberman Amdt. No. 2890,To authorize administrative leave for Federal employees to perform poll worker service in Federal elections.,Amendment Rejected (46-49),'1/2',0,45,0,4,45,4,0,1,1,0,0,0,46,49,0,5,
34,107,2,,"February 14, 2002,  05:59 PM","On the Amendment S.Amdt. 2887 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Burns Amdt. No. 2887,To clarify the ability of election officials to remove registrants from official list of voters on grounds of change of residence.,Amendment Rejected (40-55),'1/2',40,5,0,4,0,49,0,1,0,1,0,0,40,55,0,5,
35,107,2,PN997,"February 26, 2002,  10:00 AM",On the Nomination PN997,"Confirmation: Robert E. Blackburn, of Colorado, to be U.S. District Judge","Robert E. Blackburn, of Colorado, to be United States District Judge for the District of Colorado",Nomination Confirmed (98-0),'1/2',47,0,0,2,50,0,0,0,1,0,0,0,98,0,0,2,
36,107,2,,"February 26, 2002,  04:54 PM","On the Amendment S.Amdt. 2883 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Cleland Amdt. No. 2883,"To amend the short title to read ?Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2001"".",Amendment Agreed to (97-0),'1/2',47,0,0,2,50,0,0,0,0,0,0,1,97,0,0,3,
37,107,2,PN999,"February 26, 2002,  05:24 PM",On the Nomination PN999,"Confirmation: Cindy K. Jorgenson of Arizona, to be U.S. District Judge","Cindy K. Jorgenson, of Arizona, to be United States District Judge for the District of Arizona",Nomination Confirmed (98-0),'1/2',47,0,0,2,50,0,0,0,1,0,0,0,98,0,0,2,
38,107,2,,"February 27, 2002,  10:05 AM","On the Motion to Table S.Amdt. 2937 to S. 565 (Martin Luther King, Jr. Equal Protection of Voting Rights Act of 2002)",Motion to Table Schumer Amdt. No. 2937,"To permit the use of a signature or personal mark for the purpose of verifying the identity of voters who register by mail, and for other purposes.",Motion to Table Failed (46-51),'1/2',46,1,0,2,0,49,0,1,0,1,0,0,46,51,1,2,
39,107,2,S. 565,"March 1, 2002,  09:48 AM",On the Cloture Motion S. 565,Motion to Invoke Cloture on S. 565,"A bill to require States and localities to meet uniform and nondiscriminatory election technology and administration requirements applicable to Federal elections, to establish grant programs to provide assistance to States and localities to met those requirements and to improve election technology and the administration of Federal elections, to establish the Election Administration Commission, and for other purposes.","Cloture Motion Rejected (49-39, 3/5 majority required)",'3/5',1,38,0,10,47,1,0,2,1,0,0,0,49,39,1,11,
40,107,2,S. 565,"March 4, 2002,  06:16 PM",On the Cloture Motion S. 565,"Motion to Invoke Cloture on S. 565, Upon Reconsideration","A bill to require States and localities to meet uniform and nondiscriminatory election technology and administration requirements applicable to Federal elections, to establish grant programs to provide assistance to States and localities to met those requirements and to improve election technology and the administration of Federal elections, to establish the Election Administration Commission, and for other purposes.","Cloture Motion Rejected (51-44, 3/5 majority required)",'3/5',1,44,0,4,49,0,0,1,1,0,0,0,51,44,0,5,
41,107,2,,"March 6, 2002,  05:56 PM",On the Amendment S.Amdt. 2980 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),"Daschle Amdt. No. 2980, as modified and amended",To prohibit the issuance of any permit which would authorize the transport of Alaska North Slope natural gas via a pipeline running offshore in the Beaufort Sea between Alaska and Canada.,Amendment Agreed to (93-5),'1/2',42,5,0,2,50,0,0,0,1,0,0,0,93,5,0,2,
42,107,2,,"March 7, 2002,  02:15 PM",On the Amendment S.Amdt. 2983 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),Voinovich Amdt. No. 2983,To reauthorize the Price-Anderson Act.,Amendment Agreed to (78-21),'1/2',46,3,0,0,32,17,0,1,0,1,0,0,78,21,0,1,
43,107,2,,"March 7, 2002,  02:47 PM",On the Amendment S.Amdt. 2986 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),"Bingaman Amdt. No. 2986, as modified",To study whether there is a need to regulate hydraulic fracturing.,Amendment Agreed to (78-21),'1/2',48,1,0,0,30,19,0,1,0,1,0,0,78,21,0,1,
44,107,2,H.R. 3090,"March 8, 2002,  09:37 AM",On the Motion (Motion to Concur in the Amendment of the House to the Amendment of the Senate to H.R. 3090),Motion to Concur in the Amendment of the House to the Amendment of the Senate to H.R. 3090,A bill to provide tax incentives for economic recovery.,Motion Agreed to (85-9),'1/2',47,1,0,1,37,8,0,5,1,0,0,0,85,9,0,6,
45,107,2,,"March 8, 2002,  10:04 AM",On the Amendment S.Amdt. 2979 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),"McCain Amdt. No. 2979, as amended","To provide for enhanced safety, public awareness, and environmental protection in pipeline transportation, and for other purposes.",Amendment Agreed to (94-0),'1/2',48,0,0,1,45,0,0,5,1,0,0,0,94,0,0,6,
46,107,2,PN1200,"March 12, 2002,  11:02 AM",On the Nomination PN1200,"Confirmation: Ralph R. Beistline, of Alaska, to be U.S. District Judge","Ralph R. Beistline, of Alaska, to be United States District Judge for the District of Alaska",Nomination Confirmed (98-0),'1/2',47,0,0,2,50,0,0,0,1,0,0,0,98,0,0,2,
47,107,2,,"March 13, 2002,  12:03 PM",On the Amendment S.Amdt. 2997 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),Levin Amendment No. 2997,To provide alternative provisions to better encourage increased use of alternative fueled and hybrid vehicles.,Amendment Agreed to (62-38),'1/2',43,6,0,0,19,31,0,0,0,1,0,0,62,38,0,0,
48,107,2,,"March 13, 2002,  12:48 PM",On the Amendment S.Amdt. 2998 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),Miller Amendment No. 2998,To prohibit the increase of the average fuel economy standard for pickup trucks.,Amendment Agreed to (56-44),'1/2',40,9,0,0,16,34,0,0,0,1,0,0,56,44,0,0,
49,107,2,,"March 14, 2002,  02:02 PM",On the Motion (Motion to Waive the CBA re: Thomas Amdt. No. 3012),Motion to Waive the CBA re: Thomas Amdt. No. 3012,To establish an organization to enforce reliability standards with respect to electricity.,"Motion Agreed to (60-40, 3/5 majority required)",'3/5',45,4,0,0,14,36,0,0,1,0,0,0,60,40,0,0,
50,107,2,,"March 14, 2002,  05:35 PM",On the Amendment S.Amdt. 3017 to S.Amdt. 3016 to S.Amdt. 2917 to S. 517,Jeffords Amendment No. 3017,To establish renewable electric energy generation standards.,Amendment Rejected (29-70),'1/2',5,44,0,0,23,26,0,1,1,0,0,0,29,70,0,1,
51,107,2,PN998,"March 15, 2002,  09:20 AM",On the Nomination PN998,"Confirmation: David C. Bury, of Arizona, to be District Judge","David C. Bury, of Arizona, to be United States District Judge for the District of Arizona",Nomination Confirmed (90-0),'1/2',41,0,0,8,48,0,0,2,1,0,0,0,90,0,0,10,
52,107,2,PN1063,"March 18, 2002,  05:51 PM",On the Nomination PN1063,"Confirmation: Randy Crane, of Texas, to be U.S. District Judge","Randy  Crane, of Texas, to be United States District Judge for the Southern District of Texas",Nomination Confirmed (91-0),'1/2',45,0,0,4,45,0,0,5,1,0,0,0,91,0,0,9,
53,107,2,H.R. 2356,"March 20, 2002,  12:50 PM",On the Cloture Motion H.R. 2356,Motion to Invoke Cloture on H.R. 2356,A bill to amend the Federal Election Campaign Act of 1971 to provide bipartisan campaign reform.,"Cloture Motion Agreed to (68-32, 3/5 majority required)",'3/5',17,32,0,0,50,0,0,0,1,0,0,0,68,32,0,0,
54,107,2,H.R. 2356,"March 20, 2002,  06:23 AM",On Passage of the Bill H.R. 2356,Passage of H.R. 2356,A bill to amend the Federal Election Campaign Act of 1971 to provide bipartisan campaign reform.,Bill Passed (60-40),'1/2',11,38,0,0,48,2,0,0,1,0,0,0,60,40,0,0,
55,107,2,,"March 21, 2002,  09:56 AM",On the Amendment S.Amdt. 3038 to S.Amdt. 3016 to S.Amdt. 2917 to S. 517,Kyl Amdt. No. 3038,To provide for appropriate State regulatory authority with respect to renewable sources of electricity.,Amendment Rejected (40-58),'1/2',37,10,0,2,3,47,0,0,0,1,0,0,40,58,0,2,
56,107,2,,"March 21, 2002,  03:23 PM",On the Amendment S.Amdt. 3040 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),Daschle Amdt. No. 3040,To express the sense of the Senate on the fair treatment of judicial nominees.,Amendment Agreed to (97-1),'1/2',47,0,0,2,49,1,0,0,1,0,0,0,97,1,0,2,
57,107,2,,"March 21, 2002,  03:48 PM",On the Amendment S.Amdt. 3033 to S.Amdt. 2917 to S. 517 (National Laboratories Partnership Improvement Act of 2001),Lott Amdt. No. 3033,To provide for the fair treatment of Presidential judicial nominees.,Amendment Rejected (47-51),'1/2',47,0,0,2,0,50,0,0,0,1,0,0,47,51,0,2,
58,107,2,,"March 21, 2002,  06:07 PM",On the Amendment S.Amdt. 3052 to S.Amdt. 3016 to S.Amdt. 2917 to S. 517,Murkowski Amdt. No. 3052,To protect State portfolio requirements.,Amendment Rejected (39-57),'1/2',35,10,0,4,4,46,0,0,0,1,0,0,39,57,0,4,
59,107,2,,"March 21, 2002,  07:06 PM",On the Amendment S.Amdt. 3057 to S.Amdt. 3016 to S.Amdt. 2917 to S. 517,Kyl Amdt. No. 3057,"To allow the Governor of a State the ability to waive certain provisions of the Federal mandate, if the provisions would adversely effect retail electric customers of the State, with respect to the application of the Federal renewable portfolio standard.",Amendment Rejected (37-58),'1/2',34,10,0,5,3,47,0,0,0,1,0,0,37,58,0,5,
60,107,2,,"April 9, 2002,  03:45 PM",On the Motion to Table S.Amdt. 3081 to S.Amdt. 2989 to S.Amdt. 2917 to S. 517,"Motion to Table Reid Amdt. No. 3081, as modified",To provide a substitute.,Motion to Table Failed (40-59),'1/2',3,46,0,0,37,12,0,1,0,1,0,0,40,59,0,1,
