Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,114,1,,"January 8, 2015,  01:46 PM",On the Amendment S.Amdt. 1 to H.R. 26 (Terrorism Risk Insurance Program Reauthorization Act of 2015),Warren Amdt. No. 1,In the nature of a substitute.,"Amendment Rejected (31-66, 3/5 majority required)",'3/5',0,53,0,1,30,12,0,2,1,1,0,0,31,66,0,3,
2,114,1,H.R. 26,"January 8, 2015,  02:13 PM",On Passage of the Bill H.R. 26,H.R. 26,"A bill to extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.","Bill Passed (93-4, 3/5 majority required)",'3/5',52,1,0,1,40,2,0,2,1,1,0,0,93,4,0,3,
3,114,1,S. 1,"January 12, 2015,  05:31 PM",On Cloture on the Motion to Proceed S. 1,Motion to Invoke Cloture on the Motion to Proceed to S.1,A bill to approve the Keystone XL Pipeline.,"Cloture on the Motion to Proceed Agreed to (63-32, 3/5 majority required)",'3/5',52,0,0,2,10,31,0,3,1,1,0,0,63,32,0,5,
4,114,1,,"January 20, 2015,  02:50 PM",On the Motion to Table S.Amdt. 13 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Markey Amdt. No. 13,To ensure that oil transported through the Keystone XL pipeline into the United States is used to reduce United States dependence on Middle Eastern oil.,Motion to Table Agreed to (57-42),'1/2',54,0,0,0,3,40,0,1,0,2,0,0,57,42,0,1,
5,114,1,,"January 20, 2015,  03:15 PM",On the Motion to Table S.Amdt. 17 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Franken Amdt. No. 17,"To require the use of iron, steel, and manufactured goods produced in the United States in the construction of the Keystone XL Pipeline and facilities.",Motion to Table Agreed to (53-46),'1/2',53,1,0,0,0,43,0,1,0,2,0,0,53,46,0,1,
6,114,1,,"January 20, 2015,  03:33 PM",On the Amendment S.Amdt. 3 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Portman Amdt. No. 3 As Modified,To promote energy efficiency.,Amendment Agreed to (94-5),'1/2',49,5,0,0,43,0,0,1,2,0,0,0,94,5,0,1,
7,114,1,,"January 21, 2015,  03:17 PM",On the Amendment S.Amdt. 33 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Lee Amdt. No. 33,To conform citizen suits under the Endangered Species Act of 1973.,"Amendment Rejected (54-45, 3/5 majority required)",'3/5',54,0,0,0,0,43,0,1,0,2,0,0,54,45,0,1,
8,114,1,,"January 21, 2015,  03:47 PM",On the Amendment S.Amdt. 69 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Durbin Amdt. No. 69,To ensure that the storage and transportation of petroleum coke is regulated in a manner that ensures the protection of public and ecological health.,"Amendment Rejected (41-58, 3/5 majority required)",'3/5',1,53,0,0,38,5,0,1,2,0,0,0,41,58,0,1,
9,114,1,,"January 21, 2015,  04:07 PM",On the Amendment S.Amdt. 41 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Toomey Amdt. No. 41,"To continue cleaning up fields and streams while protecting neighborhoods, generating affordable energy, and creating jobs.","Amendment Rejected (54-45, 3/5 majority required)",'3/5',51,3,0,0,3,40,0,1,0,2,0,0,54,45,0,1,
10,114,1,,"January 21, 2015,  04:23 PM",On the Amendment S.Amdt. 29 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Whitehouse Amdt. No. 29,To express the sense of the Senate that climate change is real and not a hoax.,"Amendment Agreed to (98-1, 3/5 majority required)",'3/5',53,1,0,0,43,0,0,1,2,0,0,0,98,1,0,1,
11,114,1,,"January 21, 2015,  04:42 PM",On the Amendment S.Amdt. 87 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),"Hoeven Amdt. No. 87, As Modified",To express the sense of Congress regarding climate change.,"Amendment Rejected (59-40, 3/5 majority required)",'3/5',15,39,0,0,43,0,0,1,1,1,0,0,59,40,0,1,
12,114,1,,"January 21, 2015,  05:03 PM",On the Amendment S.Amdt. 58 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Schatz Amdt. No. 58,To express the sense of Congress regarding climate change.,"Amendment Rejected (50-49, 3/5 majority required)",'3/5',5,49,0,0,43,0,0,1,2,0,0,0,50,49,0,1,
13,114,1,,"January 22, 2015,  03:57 PM",On the Amendment S.Amdt. 113 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Boxer Amdt. No. 113,To express the sense of Congress regarding federally protected land.,"Amendment Rejected (55-44, 3/5 majority required)",'3/5',10,44,0,0,43,0,0,1,2,0,0,0,55,44,0,1,
14,114,1,,"January 22, 2015,  04:30 PM",On the Amendment S.Amdt. 18 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),"Fischer Amdt. No. 18, As Modified",To provide limits on the designation of new federally protected land.,"Amendment Rejected (54-45, 3/5 majority required)",'3/5',50,4,0,0,3,40,0,1,1,1,0,0,54,45,0,1,
15,114,1,,"January 22, 2015,  04:56 PM",On the Motion to Table S.Amdt. 99 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Manchin Amdt. No. 99,To express the sense of Congress regarding climate change.,Motion to Table Agreed to (53-46),'1/2',53,1,0,0,0,43,0,1,0,2,0,0,53,46,0,1,
16,114,1,,"January 22, 2015,  05:15 PM",On the Motion to Table S.Amdt. 24 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Sanders Amdt. No. 24,To express the sense of Congress regarding climate change.,Motion to Table Agreed to (56-42),'1/2',53,0,0,1,3,40,0,1,0,2,0,0,56,42,0,2,
17,114,1,,"January 22, 2015,  05:33 PM",On the Amendment S.Amdt. 71 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Lee Amdt. No. 71,To require a procedure for issuing permits to drill.,"Amendment Rejected (51-47, 3/5 majority required)",'3/5',49,4,0,1,2,41,0,1,0,2,0,0,51,47,0,2,
18,114,1,,"January 22, 2015,  05:50 PM",On the Amendment S.Amdt. 123 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Murkowski Amdt. No. 123,To express the sense of the Senate that all forms of unrefined and unprocessed petroleum should be subject to the nominal per-barrel excise tax associated with the Oil Spill Liability Trust Fund.,"Amendment Agreed to (75-23, 3/5 majority required)",'3/5',30,23,0,1,43,0,0,1,2,0,0,0,75,23,0,2,
19,114,1,,"January 22, 2015,  06:15 PM",On the Amendment S.Amdt. 27 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Wyden Amdt. No. 27,To amend the Internal Revenue Code of 1986 to clarify that products derived from tar sands are crude oil for purposes of the Federal excise tax on petroleum.,"Amendment Rejected (50-47, 3/5 majority required)",'3/5',5,47,0,2,43,0,0,1,2,0,0,0,50,47,0,3,
20,114,1,,"January 22, 2015,  06:35 PM",On the Amendment S.Amdt. 78 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Blunt Amdt. No. 78 As Modified,"To express the sense of the Senate regarding the conditions for the President entering into bilateral or other international agreements regarding greenhouse gas emissions without proper study of any adverse economic effects, including job losses and harm to the industrial sector, and without the approval of the Senate.","Amendment Rejected (51-46, 3/5 majority required)",'3/5',50,2,0,2,1,42,0,1,0,2,0,0,51,46,0,3,
21,114,1,,"January 22, 2015,  06:53 PM",On the Amendment S.Amdt. 126 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Cornyn Amdt. No. 126 As Modified,To ensure private property is protected as guaranteed by the United States Constitution.,Amendment Agreed to (64-33),'1/2',52,0,0,2,12,31,0,1,0,2,0,0,64,33,0,3,
22,114,1,,"January 22, 2015,  07:12 PM",On the Amendment S.Amdt. 72 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Menendez Amdt. No. 72 As Modified,To ensure private property cannot be seized through condemnation or eminent domain for the private gain of a foreign-owned business entity.,Amendment Rejected (43-54),'1/2',2,50,0,2,39,4,0,1,2,0,0,0,43,54,0,3,
23,114,1,S. 1,"January 22, 2015,  09:28 PM",On the Motion for Attendance S. 1,Motion to Instruct the Sgt. at Arms,A bill to approve the Keystone XL Pipeline.,Motion for Attendance Agreed to (89-5),'1/2',47,5,0,2,40,0,0,4,2,0,0,0,89,5,0,6,
24,114,1,,"January 22, 2015,  10:06 PM",On the Motion to Table S.Amdt. 25 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Markey Amdt. No. 25,To ensure that products derived from tar sands are treated as crude oil for purposes of the Federal excise tax on petroleum.,Motion to Table Agreed to (53-42),'1/2',51,0,0,3,2,40,0,2,0,2,0,0,53,42,0,5,
25,114,1,,"January 22, 2015,  10:30 PM",On the Motion to Table S.Amdt. 121 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Carper Amdt. No. 121,To impose a fee of 8 cents per barrel on oil transported through the pipeline.,Motion to Table Agreed to (57-38),'1/2',52,0,0,2,5,36,0,3,0,2,0,0,57,38,0,5,
26,114,1,,"January 22, 2015,  10:51 PM",On the Motion to Table S.Amdt. 28 to S.Amdt. 2 to S. 1 (Keystone XL Pipeline Act),Motion to Table Whitehouse Amdt. No. 28,To require campaign finance disclosures for certain persons benefitting from tar sands development.,Motion to Table Agreed to (52-43),'1/2',52,0,0,2,0,41,0,3,0,2,0,0,52,43,0,5,
