Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,110,1,S.Res. 19,"January 8, 2007,  12:01 PM",On the Resolution S.Res. 19,S. Res. 19,A resolution honoring President Gerald Rudolph Ford.,Resolution Agreed to (88-0),'1/2',42,0,0,7,45,0,0,4,1,0,0,1,88,0,0,12,
2,110,1,,"January 10, 2007,  12:00 PM",On the Amendment S.Amdt. 7 to S.Amdt. 3 to S. 1 (No short title on file),Vitter Amdt No. 7,"To amend the Ethics in Government Act of 1978 to establish criminal penalties for knowingly and willfully falsifying or failing to file or report certain information required to be reported under that Act, and for other purposes.",Amendment Agreed to (93-2),'1/2',45,2,0,2,46,0,0,3,2,0,0,0,93,2,0,5,
3,110,1,,"January 10, 2007,  05:02 PM",On the Motion to Table S.Amdt. 5 to S.Amdt. 3 to S. 1 (No short title on file),Motion to Table Vitter Amdt. No. 5,To modify the application of the Federal Election Campaign Act of 1971 to Indian tribes.,Motion to Table Agreed to (56-40),'1/2',8,39,0,2,46,1,0,2,2,0,0,0,56,40,0,4,
4,110,1,,"January 10, 2007,  05:28 PM",On the Motion to Table S.Amdt. 6 to S.Amdt. 3 to S. 1 (No short title on file),Motion to Table Vitter Amdt. No. 6,to prohibit authorized committees and leadership PACs from employing the spouse or immediate family members of any candidate or Federal office holder connected to the committee.,Motion to Table Agreed to (54-41),'1/2',17,30,0,2,35,11,0,3,2,0,0,0,54,41,1,4,
5,110,1,,"January 11, 2007,  02:03 PM",On the Motion to Table S.Amdt. 11 to S.Amdt. 3 to S. 1 (No short title on file),Motion to Table DeMint Amdt. No. 11,To strengthen earmark reform.,Motion to Table Failed (46-51),'1/2',7,41,0,1,38,9,0,2,1,1,0,0,46,51,0,3,
6,110,1,,"January 11, 2007,  02:32 PM",On the Motion (Motion to Waive CBA DeMint Amdt. No. 13),Motion to Waive CBA DeMint Amdt. No. 13,To prevent government shutdowns.,"Motion Rejected (25-72, 3/5 majority required)",'3/5',25,23,0,1,0,47,0,2,0,2,0,0,25,72,0,3,
7,110,1,S. 1,"January 11, 2007,  04:10 PM",On the Motion (Motion to Instruct Sgt. at Arms),Motion to Instruct Sgt. at Arms,A bill to provide greater transparency in the legislative process.,Motion Agreed to (90-6),'1/2',42,6,0,1,46,0,0,3,2,0,0,0,90,6,0,4,
8,110,1,,"January 12, 2007,  09:50 AM",On the Amendment S.Amdt. 1 to S.Amdt. 3 to S. 1 (No short title on file),"Kerry Amdt. No. 1, As Modified","To amend title 5, United States Code, to deny Federal retirement benefits to individuals convicted of certain offenses, and for other purposes.",Amendment Agreed to (87-0),'1/2',44,0,0,5,41,0,0,8,2,0,0,0,87,0,0,13,
9,110,1,,"January 12, 2007,  10:17 AM",On the Amendment S.Amdt. 10 to S.Amdt. 3 to S. 1 (No short title on file),Vitter Amdt. No. 10,To increase the penalty for failure to comply with lobbying disclosure requirements.,Amendment Agreed to (81-6),'1/2',38,6,0,5,41,0,0,8,2,0,0,0,81,6,0,13,
10,110,1,,"January 16, 2007,  05:35 PM",On the Amendment S.Amdt. 44 to S.Amdt. 11 to S.Amdt. 3 to S. 1,Durbin Amdt. No. 44 As Modified,To strengthen earmark reform.,Amendment Agreed to (98-0),'1/2',49,0,0,0,47,0,0,2,2,0,0,0,98,0,0,2,
11,110,1,,"January 16, 2007,  05:57 PM",On the Amendment S.Amdt. 11 to S.Amdt. 3 to S. 1 (No short title on file),"Demint Amdt. No. 11, As amended",To strengthen earmark reform.,Amendment Agreed to (98-0),'1/2',49,0,0,0,47,0,0,2,2,0,0,0,98,0,0,2,
12,110,1,,"January 16, 2007,  06:17 PM",On the Cloture Motion S.Amdt. 4 to S.Amdt. 3 to S. 1 (No short title on file),Motion to Invoke Cloture on the Reid Amdt. No. 4 to S.1,To strengthen the gift and travel bans.,"Cloture Motion Agreed to (95-2, 2/3 majority required)",'2/3',47,1,0,1,46,1,0,2,2,0,0,0,95,2,0,3,
13,110,1,,"January 17, 2007,  08:59 PM",On the Amendment S.Amdt. 65 to S.Amdt. 4 to S.Amdt. 3 to S. 1,Feingold Amdt. No. 65,To prohibit lobbyists and entities that retain or employ lobbyists from throwing lavish parties honoring Members at party conventions.,Amendment Agreed to (89-5),'1/2',40,5,0,4,47,0,0,2,2,0,0,0,89,5,0,6,
14,110,1,,"January 17, 2007,  09:24 PM",On the Amendment S.Amdt. 81 to S.Amdt. 4 to S.Amdt. 3 to S. 1,"Bennett Amdt. No. 81, As amended",To permit travel hosted by preapproved 501(c)(3) organizations.,Amendment Agreed to (51-46),'1/2',45,2,0,2,6,42,0,1,0,2,0,0,51,46,0,3,
15,110,1,,"January 17, 2007,  09:41 PM",On the Amendment S.Amdt. 4 to S.Amdt. 3 to S. 1 (No short title on file),"Reid Amdt No. 4, As Modified and Amended",To strengthen the gift and travel bans.,Amendment Agreed to (88-9),'1/2',38,9,0,2,48,0,0,1,2,0,0,0,88,9,0,3,
16,110,1,,"January 17, 2007,  09:58 PM",On the Cloture Motion S.Amdt. 3 to S. 1 (No short title on file),Motion to Invoke Cloture on the Reid Amdt No. 3 To S.1,In the nature of a substitute.,"Cloture Motion Rejected (51-46, 2/3 majority required)",'2/3',2,45,0,2,47,1,0,1,2,0,0,0,51,46,0,3,
17,110,1,,"January 18, 2007,  08:21 PM",On the Amendment S.Amdt. 20 to S.Amdt. 3 to S. 1 (No short title on file),Bennett Amdt No. 20,To strike a provision relating to paid efforts to stimulate grassroots lobbying.,Amendment Agreed to (55-43),'1/2',48,0,0,1,7,41,0,1,0,2,0,0,55,43,0,2,
18,110,1,,"January 18, 2007,  09:22 PM",On the Amendment S.Amdt. 30 to S.Amdt. 3 to S. 1 (No short title on file),Lieberman Amdt No. 30,To establish a Senate Office of Public Integrity.,Amendment Rejected (27-71),'1/2',5,43,0,1,21,27,0,1,1,1,0,0,27,71,0,2,
19,110,1,S. 1,"January 18, 2007,  09:04 PM",On Passage of the Bill S. 1,S.1 As Amended,A bill to provide greater transparency in the legislative process.,Bill Passed (96-2),'1/2',46,2,0,1,48,0,0,1,2,0,0,0,96,2,0,2,
20,110,1,,"January 23, 2007,  02:45 PM",On the Amendment S.Amdt. 103 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Snowe Amdt. No. 103 As Modified,In the nature of a substitute.,Amendment Agreed to (99-0),'1/2',49,0,0,0,48,0,0,1,2,0,0,0,99,0,0,1,
21,110,1,,"January 23, 2007,  04:46 PM",On the Amendment S.Amdt. 106 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Sessions Amdt. No. 106 As Modified,To express the sense of the Senate that increasing personal savings is a necessary step toward ensuring the economic security of all the people of the United States upon retirement.,Amendment Agreed to (98-0),'1/2',49,0,0,0,47,0,0,2,2,0,0,0,98,0,0,2,
22,110,1,,"January 24, 2007,  11:34 AM",On the Cloture Motion S.Amdt. 101 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Motion to Invoke Cloture on the Gregg Amdt. No. 101,To provide Congress a second look at wasteful spending by establishing enhance rescission authority under fast-track procedures.,"Cloture Motion Rejected (49-48, 3/5 majority required)",'3/5',47,1,0,1,1,46,0,2,1,1,0,0,49,48,0,3,
23,110,1,H.R. 2,"January 24, 2007,  12:01 PM",On the Cloture Motion H.R. 2,Motion to Invoke Cloture on H.R.2,A bill to amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,"Cloture Motion Rejected (54-43, 3/5 majority required)",'3/5',5,43,0,1,47,0,0,2,2,0,0,0,54,43,0,3,
24,110,1,,"January 24, 2007,  05:11 PM",On the Amendment S.Amdt. 116 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Allard Amdt. No. 116,To afford States the rights and flexibility to determine minimum wage.,Amendment Rejected (28-69),'1/2',28,20,0,1,0,47,0,2,0,2,0,0,28,69,0,3,
25,110,1,,"January 25, 2007,  10:32 AM",On the Motion (Motion to Waive Re: DeMint Amdt. No. 158),Motion to Waive Re: DeMint Amdt. No. 158,To increase the Federal minimum wage by an amount that is based on applicable State minimum wages.,"Motion Rejected (18-76, 3/5 majority required)",'3/5',18,28,0,3,0,46,0,3,0,2,0,0,18,76,0,6,
26,110,1,,"January 25, 2007,  12:17 PM","On the Motion (Motion to Waive CBA, Ensign Amdt. No. 154)","Motion to Waive CBA, Ensign Amdt. No. 154",To improve access to affordable health care.,"Motion Rejected (47-48, 3/5 majority required)",'3/5',46,0,0,3,1,46,0,2,0,2,0,0,47,48,0,5,
27,110,1,,"January 25, 2007,  02:05 PM",On the Amendment S.Amdt. 207 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Baucus Amdt. No. 207,"To express the sense of the Senate that Congress should repeal the 1993 tax increase on Social Security benefits and eliminate wasteful spending, such as spending on unnecessary tax loopholes, in order to fully offset the cost of such repeal and avoid forcing taxpayers to pay substantially more interest to foreign creditors.",Amendment Agreed to (93-0),'1/2',45,0,0,4,46,0,0,3,2,0,0,0,93,0,0,7,
28,110,1,,"January 25, 2007,  02:59 PM","On the Motion (Motion to Waive CBA, Bunning Amdt. No. 119)","Motion to Waive CBA, Bunning Amdt. No. 119",To amend the Internal Revenue Code of 1986 to repeal the 1993 income tax increase on Social Security benefits.,"Motion Rejected (42-51, 3/5 majority required)",'3/5',41,4,0,4,1,45,0,3,0,2,0,0,42,51,0,7,
29,110,1,,"January 25, 2007,  03:48 PM",On the Amendment S.Amdt. 206 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Baucus Amdt. No. 206,"To express the sense of the Senate that Congress should make permanent the tax incentives to make education more affordable and more accessible for American families and eliminate wasteful spending, such as spending on unnecessary tax loopholes, in order to fully offset the cost of such incentives and avoid forcing taxpayers to pay substantially more interest to foreign creditors.",Amendment Agreed to (90-0),'1/2',45,0,0,4,43,0,0,6,2,0,0,0,90,0,0,10,
30,110,1,,"January 25, 2007,  04:14 PM","On the Motion (Motion to Waive CBA, Smith Amdt. No. 113,  As Amended)","Motion to Waive CBA, Smith Amdt. No. 113,  As Amended",To make permanent certain education-related tax incentives.,"Motion Rejected (43-50, 3/5 majority required)",'3/5',42,3,0,4,1,45,0,3,0,2,0,0,43,50,0,7,
31,110,1,,"January 25, 2007,  05:42 PM",On the Amendment S.Amdt. 148 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Sessions Amdt. No. 148,To prohibit employers who unlawfully employ aliens from receiving government contracts.,Amendment Agreed to (94-0),'1/2',46,0,0,3,46,0,0,3,2,0,0,0,94,0,0,6,
32,110,1,,"January 25, 2007,  06:14 PM",On the Motion to Table S.Amdt. 205 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),"Motion to Table, Kyl Amdt. No. 205","To extend through December 31, 2008, the depreciation treatment of leasehold, restaurant, and retail space improvements, and for other purposes.",Motion to Table Agreed to (50-42),'1/2',3,42,0,4,45,0,0,4,2,0,0,0,50,42,0,8,
33,110,1,PN178,"January 26, 2007,  09:45 AM",On the Nomination PN178,"Confirmation Lt. Gen. David H. Petraeus, U.S. Army, to be General","Lt. Gen. David H. Petraeus, in the Army, to be General",Nomination Confirmed (81-0),'1/2',37,0,0,12,42,0,0,7,2,0,0,0,81,0,0,19,
34,110,1,,"January 30, 2007,  12:15 PM",On the Motion (Motion to Invoke Cloture on the Baucus Amdt. No. 100),Motion to Invoke Cloture on the Baucus Amdt. No. 100,In the nature of a substitute.,"Motion Agreed to (87-10, 3/5 majority required)",'3/5',38,10,0,1,47,0,0,2,2,0,0,0,87,10,0,3,
35,110,1,PN31,"January 30, 2007,  04:13 PM",On the Nomination PN31,"Confirmation Lisa Godbey Wood, of Georgia, to be U.S. District Judge","Lisa Godbey Wood, of Georgia, to be United States District Judge for the Southern District of Georgia",Nomination Confirmed (97-0),'1/2',48,0,0,1,47,0,0,2,2,0,0,0,97,0,0,3,
36,110,1,PN17,"January 30, 2007,  04:39 PM",On the Nomination PN17,"Confirmation Philip S. Gutierrez, of California, to be U.S. District Judge","Philip S. Gutierrez, of California, to be United States District Judge for the Central District of California",Nomination Confirmed (97-0),'1/2',48,0,0,1,47,0,0,2,2,0,0,0,97,0,0,3,
37,110,1,,"January 31, 2007,  02:32 PM",On the Motion to Table S.Amdt. 209 to S.Amdt. 100 to H.R. 2 (Fair Minimum Wage Act of 2007),Motion to Table Kyl Amdt. No. 209,"To extend through December 31, 2012, the increased expensing for small businesses.",Motion to Table Agreed to (49-48),'1/2',1,46,0,2,46,2,0,1,2,0,0,0,49,48,0,3,
38,110,1,,"January 31, 2007,  04:02 PM",On the Motion (Motion to Waive C.B.A. Re: Kyl Amdt. No. 115),Motion to Waive C.B.A. Re: Kyl Amdt. No. 115,"To extend through December 31, 2008, the depreciation treatment of leasehold, restaurant, and retail space improvements.","Motion Rejected (46-50, 3/5 majority required)",'3/5',44,3,0,2,2,45,0,2,0,2,0,0,46,50,0,4,
39,110,1,H.R. 2,"January 31, 2007,  04:33 PM","On the Motion (Motion to Invoke Cloture on H.R.2, As Amended)","Motion to Invoke Cloture on H.R.2, As Amended",A bill to amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,"Motion Agreed to (88-8, 3/5 majority required)",'3/5',39,8,0,2,47,0,0,2,2,0,0,0,88,8,0,4,
40,110,1,PN24,"February 1, 2007,  11:54 AM",On the Nomination PN24,"Confirmation Lawrence Joseph O' Neill, of California, to be U.S. District Judge","Lawrence Joseph O'Neill, of California, to be United States District Judge for the Eastern District of California",Nomination Confirmed (97-0),'1/2',48,0,0,1,47,0,0,2,2,0,0,0,97,0,0,3,
41,110,1,PN16,"February 1, 2007,  12:19 PM",On the Nomination PN16,"Confirmation Gregory Kent Frizzell, of Oklahoma, to be U.S. District Judge","Gregory Kent Frizzell, of Oklahoma, to be United States District Judge for the Northern District of Oklahoma",Nomination Confirmed (99-0),'1/2',49,0,0,0,48,0,0,1,2,0,0,0,99,0,0,1,
42,110,1,H.R. 2,"February 1, 2007,  05:00 PM",On Passage of the Bill H.R. 2,"H.R.2, As Amended",A bill to amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,Bill Passed (94-3),'1/2',45,3,0,1,47,0,0,2,2,0,0,0,94,3,0,3,
43,110,1,S.Con.Res. 2,"February 1, 2007,  05:25 PM",On the Motion (Motion to Invoke Cloture on the Motion to Proceed to S.Con.Res.2),Motion to Invoke Cloture on the Motion to Proceed to S.Con.Res.2,A concurrent resolution expressing the bipartisan resolution on Iraq.,"Motion Rejected (0-97, 3/5 majority required)",'3/5',0,48,0,1,0,47,0,2,0,2,0,0,0,97,0,3,
44,110,1,S. 470,"February 5, 2007,  05:44 PM",On the Cloture Motion S. 470,Motion to Invoke Cloture on the Motion to Proceed to S. 470,A bill to express the sense of Congress on Iraq.,"Cloture Motion Rejected (49-47, 3/5 majority required)",'3/5',2,45,0,2,46,1,0,2,1,1,0,0,49,47,0,4,
45,110,1,PN177,"February 8, 2007,  11:51 AM",On the Nomination PN177,"Confirmation Gen. George W. Casey to be Chief of Staff, U.S. Army","Gen. George W. Casey, Jr., in the Army, to be General",Nomination Confirmed (83-14),'1/2',37,10,0,2,44,4,0,1,2,0,0,0,83,14,0,3,
46,110,1,H.J.Res. 20,"February 13, 2007,  02:30 PM",On the Motion (Motion to Invoke Cloture on H.J.Res. 20),Motion to Invoke Cloture on H.J.Res. 20,"A joint resolution making further continuing appropriations for the fiscal year 2007, and for other purposes.","Motion Agreed to (71-26, 3/5 majority required)",'3/5',23,25,0,1,46,1,0,2,2,0,0,0,71,26,0,3,
47,110,1,PN15,"February 14, 2007,  04:46 PM",On the Nomination PN15,"Confirmation Nora Barry Fischer, of Pennsylvania, to be U.S. District Judge","Nora Barry Fischer, of Pennsylvania, to be United States District Judge for the Western District of Pennsylvania",Nomination Confirmed (96-0),'1/2',48,0,0,1,46,0,0,3,2,0,0,0,96,0,0,4,
48,110,1,H.J.Res. 20,"February 14, 2007,  07:10 AM",On the Joint Resolution H.J.Res. 20,H.J.Res. 20,"A joint resolution making further continuing appropriations for the fiscal year 2007, and for other purposes.",Joint Resolution Passed (81-15),'1/2',33,15,0,1,46,0,0,3,2,0,0,0,81,15,0,4,
49,110,1,PN183,"February 15, 2007,  10:29 AM",On the Nomination PN183,"Confirmation Norman Randy Smith, of Idaho, to be U.S. Circuit Judge for the Ninth Circuit","Norman Randy Smith, of Idaho, to be United States Circuit Judge for the Ninth Circuit",Nomination Confirmed (94-0),'1/2',46,0,0,3,46,0,0,3,2,0,0,0,94,0,0,6,
50,110,1,PN18,"February 15, 2007,  10:58 AM",On the Nomination PN18,"Confirmation Marcia Morales Howard, of Florida, to be U.S. District Judge","Marcia Morales Howard, of Florida, to be United States District Judge for the Middle District of Florida",Nomination Confirmed (93-0),'1/2',45,0,0,4,46,0,0,3,2,0,0,0,93,0,0,7,
51,110,1,S. 574,"February 17, 2007,  01:45 PM",On the Cloture Motion S. 574,Motion to Invoke Cloture on the Motion to Proceed to S.574,A bill to express the sense of Congress on Iraq.,"Cloture Motion Rejected (56-34, 3/5 majority required)",'3/5',7,33,0,9,48,0,0,1,1,1,0,0,56,34,0,10,
