Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,103,1,,"February 3, 1993,  10:01 AM",On the Motion to Table S.Amdt. 4 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Amdt. No. 4,To amend the Internal Revenue Code of 1986 to provide tax incentives for the adoption of flexible family leave policies by employers.,Motion to Table Agreed to (67-33),'1/2',11,32,0,0,56,1,0,0,0,0,0,0,67,33,0,0,
2,103,1,,"February 3, 1993,  10:27 AM",On the Motion to Table S.Amdt. 10 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Amdt. No. 10,To establish provisions relating to notice.,Motion to Table Agreed to (60-40),'1/2',6,37,0,0,54,3,0,0,0,0,0,0,60,40,0,0,
3,103,1,,"February 3, 1993,  12:22 PM",On the Motion to Table S.Amdt. 3 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Grassley Amdt. No. 3,To establish arbitration procedures.,Motion to Table Agreed to (54-46),'1/2',3,40,0,0,51,6,0,0,0,0,0,0,54,46,0,0,
4,103,1,,"February 3, 1993,  02:01 PM",On the Motion to Table S.Amdt. 11 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Kassebaum Amendment  No. 11,To permit employers to satisfy family and medical leave requirements by offering such leave as a benefit in a cafeteria plan.,Motion to Table Agreed to (63-36),'1/2',8,34,0,1,55,2,0,0,0,0,0,0,63,36,0,1,
5,103,1,,"February 3, 1993,  03:13 PM",On the Motion to Table S.Amdt. 12 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Wallop Amdt. No. 12,To amend the Fair Labor Standards Act of 1938 to permit an employee to take compensatory time off in lieu of compensation for overtime hours.,Motion to Table Agreed to (64-35),'1/2',7,35,0,1,57,0,0,0,0,0,0,0,64,35,0,1,
6,103,1,,"February 3, 1993,  06:31 PM",On the Motion to Table S.Amdt. 14 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Danforth Amdt.  No. 14,To encourage mediation of complaints filed with respect to family and medical leave.,Motion to Table Agreed to (56-42),'1/2',3,38,0,2,53,4,0,0,0,0,0,0,56,42,0,2,
7,103,1,,"February 4, 1993,  01:30 PM",On the Motion to Table S.Amdt. 16 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Amdt. No. 16,To limit the period for which a public employer may be required to provide family and medical leave.,Motion to Table Agreed to (67-31),'1/2',11,30,0,2,56,1,0,0,0,0,0,0,67,31,1,1,
8,103,1,,"February 4, 1993,  06:46 PM",On the Motion to Table S.Amdt. 18 to S.Amdt. 17 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Mitchell Amdt. No. 18,With respect to military policy with respect to homosexuals.,Motion to Table Failed (1-98),'1/2',0,42,0,1,1,56,0,0,0,0,0,0,1,98,0,1,
9,103,1,,"February 4, 1993,  07:07 PM",On the Motion to Table S.Amdt. 19 to S.Amdt. 17 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Dole Amdt. No. 19,To provide for a review of Department of Defense policy concerning service of homosexuals in the Armed Forces.,Motion to Table Agreed to (62-37),'1/2',7,35,0,1,55,2,0,0,0,0,0,0,62,37,0,1,
10,103,1,,"February 4, 1993,  07:27 PM",On the Motion to Table S.Amdt. 22 to S. 5 (Family and Medical Leave Act of 1993),Motion To Table Brown Amdt. No. 22,To modify provisions relating to intermittent leave and leave on a reduced leave schedule.,Motion to Table Agreed to (59-39),'1/2',7,34,0,2,52,5,0,0,0,0,0,0,59,39,0,2,
11,103,1,H.R. 1,"February 4, 1993,  07:46 PM",On Passage of the Bill H.R. 1,"H.R. 1, As Amended",A bill to grant family and temporary medical leave under certain circumstances.,Bill Passed (71-27),'1/2',16,25,0,2,55,2,0,0,0,0,0,0,71,27,0,2,
12,103,1,,"February 18, 1993,  09:04 AM",On the Amendment S.Amdt. 40 to S. 1 (National Institutes of Health Revitalization Act of 1993),Kennedy Amdt. No. 40,To provide that the current list of communicable diseases of public health significance remain in place for a 90-day period and to require that a careful review of potential costs to the U.S. health care system take place before any change in the list.,Amendment Rejected (42-56),'1/2',6,37,0,0,36,19,0,2,0,0,0,0,42,56,0,2,
13,103,1,,"February 18, 1993,  09:25 AM",On the Amendment S.Amdt. 39 to S. 1 (National Institutes of Health Revitalization Act of 1993),Nickles Amdt. No. 13,Relating to the admission to the United States of aliens infected with the AIDS virus.,Amendment Agreed to (76-23),'1/2',42,1,0,0,34,22,0,1,0,0,0,0,76,23,0,1,
14,103,1,,"February 18, 1993,  02:01 PM",On the Amendment S.Amdt. 49 to S. 1 (National Institutes of Health Revitalization Act of 1993),Helms Amdt. No. 48,"To permit the United States Claims Court to continue to receive, and forward, petitions for compensation for a vaccine-related injury.",Amendment Agreed to (23-74),'1/2',23,18,0,2,0,56,0,1,0,0,0,0,23,74,0,3,
15,103,1,S. 1,"February 18, 1993,  02:32 PM",On Passage of the Bill S. 1,"S.1, As Amended","A bill to amend the Public Health Service Act to revise and extend the programs of the National Institutes of Health, and for other purposes.",Bill Passed (93-4),'1/2',37,4,0,2,56,0,0,1,0,0,0,0,93,4,0,3,
16,103,1,,"February 24, 1993,  02:47 PM",On the Amendment S.Amdt. 51 to S.Amdt. 50 to S.Res. 71 (No short title on file),Mitchell Second Degree Amdt. No. 51,It is the sense of the Senate that the rate of pay of Senators should be frozen for one year.,Amendment Agreed to (98-0),'1/2',42,0,0,1,56,0,0,1,0,0,0,0,98,0,0,2,
