Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,108,2,H.R. 2673,"January 20, 2004,  03:10 PM",On the Cloture Motion H.R. 2673,Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2673,"A bill making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.","Cloture Motion Rejected (48-45, 3/5 majority required)",'3/5',45,5,0,1,3,39,0,6,0,1,0,0,48,45,0,7,
2,108,2,H.R. 2673,"January 22, 2004,  12:00 PM",On the Cloture Motion H.R. 2673,Motion To Invoke Cloture On The Conference Report To Accompany H. R. 2673,"A bill making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.","Cloture Motion Agreed to (61-32, 3/5 majority required)",'3/5',45,3,0,3,16,28,0,4,0,1,0,0,61,32,0,7,
3,108,2,H.R. 2673,"January 22, 2004,  12:30 PM",On the Conference Report H.R. 2673,H. R. 2673 Conference Report,"A bill making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies for the fiscal year ending September 30, 2004, and for other purposes.",Conference Report Agreed to (65-28),'1/2',44,4,0,3,21,23,0,4,0,1,0,0,65,28,0,7,
4,108,2,,"January 27, 2004,  02:31 PM",On the Motion to Table S.Amdt. 2234 to S.Amdt. 2233 to H.R. 3108 (Pension Funding Equity Act of 2004),Motion To Table Kyl Amdt. No. 2234,To limit the liability of the Pension Benefit Guaranty Corporation with respect to a plan for which a reduced deficit contribution is elected.,Motion to Table Agreed to (67-25),'1/2',25,24,0,2,41,1,0,6,1,0,0,0,67,25,0,8,
5,108,2,H.R. 3108,"January 28, 2004,  12:03 PM",On Passage of the Bill H.R. 3108,H.R. 3108 As Amended,"A bill to amend the Employee Retirement Income Security Act of 1974 and the Internal Revenue Code of 1986 to temporarily replace the 30-year Treasury rate with a rate based on long-term corporate bonds for certain pension plan funding requirements and other provisions, and for other purposes.",Bill Passed (86-9),'1/2',41,9,0,1,44,0,0,4,1,0,0,0,86,9,0,5,
6,108,2,PN544,"January 28, 2004,  12:41 PM",On the Nomination PN544,"Confirmation of Gary L. Sharpe, of New York, To Be U.S. District Judge","Gary L. Sharpe, of New York, to be United States District Judge for the Northern District of New York",Nomination Confirmed (95-0),'1/2',50,0,0,1,44,0,0,4,1,0,0,0,95,0,0,5,
7,108,2,S. 1072,"February 2, 2004,  05:47 PM",On the Cloture Motion S. 1072,Motion To Invoke Cloture On The Motion To Proceed To Consider S. 1072,"A bill to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.","Cloture Motion Agreed to (75-11, 3/5 majority required)",'3/5',39,6,0,6,35,5,0,8,1,0,0,0,75,11,0,14,
8,108,2,PN539,"February 4, 2004,  04:09 PM",On the Nomination PN539,"Confirmation Mark R. Filip, of Illinois, To Be U. S. District Judge","Mark R. Filip, of Illinois, to be United States District Judge for the Northern District of Illinois",Nomination Confirmed (96-0),'1/2',51,0,0,0,44,0,0,4,1,0,0,0,96,0,0,4,
9,108,2,,"February 11, 2004,  11:30 AM","On the Motion to Table S.Amdt. 2286 to S.Amdt. 2285 to S. 1072 (Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004)","Motion To Table Warner Amdt. No 2286, as Modified",To provide a highway safety improvement program that includes incentives to States to enact primary safety belt laws.,Motion to Table Agreed to (57-41),'1/2',41,10,0,0,15,31,0,2,1,0,0,0,57,41,0,2,
10,108,2,,"February 12, 2004,  09:00 AM","On the Cloture Motion S.Amdt. 2285 to S. 1072 (Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004)",Motion To Invoke Cloture On The Inhofe Amdt. No. 2285 To S.1072,To provide a complete substitute.,"Cloture Motion Agreed to (86-11, 3/5 majority required)",'3/5',43,8,0,0,42,3,0,3,1,0,0,0,86,11,0,3,
11,108,2,,"February 12, 2004,  10:53 AM","On the Amendment S.Amdt. 2388 to S.Amdt. 2285 to S. 1072 (Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004)",Hutchinson Amdt. No. 2388,To provide for the distribution of funds under the infrastructure performance and maintenance program.,Amendment Rejected (17-78),'1/2',7,42,0,2,10,35,0,3,0,1,0,0,17,78,0,5,
12,108,2,,"February 12, 2004,  02:39 PM","On the Point of Order S.Amdt. 2285 to S. 1072 (Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004)",Motion To Waive C.B.A. Re: Inhofe Amdt No 2285 and S. 1072,To provide a complete substitute.,"Point of Order Not Sustained (72-24, 3/5 majority required)",'3/5',30,20,0,1,41,4,0,3,1,0,0,0,72,24,0,4,
13,108,2,,"February 12, 2004,  03:27 PM","On the Amendment S.Amdt. 2473 to S. 1072 (Safe, Accountable, Flexible, and Efficient Transportation Equity Act of 2004)",Kyl Amdt. No. 2473,To provide for a substitute to title V.,Amendment Rejected (20-78),'1/2',18,33,0,0,2,44,0,2,0,1,0,0,20,78,0,2,
