Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
1,115,1,S.Con.Res. 3,"January 4, 2017,  12:38 PM",On the Motion to Proceed S.Con.Res. 3,Motion to Proceed to S. Con. Res. 3,A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,Motion to Proceed Agreed to (51-48),'1/2',51,1,0,0,0,45,0,1,0,2,0,0,51,48,0,1,
2,115,1,,"January 5, 2017,  02:47 PM",On the Motion (Motion to Waive Section 305(b)(2) of the C.B.A. re: Kaine Amdt. No. 8),Motion to Waive Section 305(b)(2) of the C.B.A. re: Kaine Amdt. No. 8,To prohibit legislation that makes America sick again.,"Motion Rejected (48-52, 3/5 majority required)",'3/5',0,52,0,0,46,0,0,0,2,0,0,0,48,52,0,0,
3,115,1,,"January 9, 2017,  05:33 PM",On the Amendment S.Amdt. 1 to S.Con.Res. 3 (No short title on file),Paul Amdt. No. 1,In the nature of a substitute.,Amendment Rejected (14-83),'1/2',14,35,0,3,0,46,0,0,0,2,0,0,14,83,0,3,
4,115,1,,"January 9, 2017,  06:08 PM",On the Motion (Motion to Waive CBA Re: Germaneness Re: Hirono Amdt. No. 20),Motion to Waive CBA Re: Germaneness Re: Hirono Amdt. No. 20,To protect the Medicare and Medicaid programs.,"Motion Rejected (49-47, 3/5 majority required)",'3/5',2,47,0,3,45,0,0,1,2,0,0,0,49,47,0,4,
5,115,1,,"January 10, 2017,  02:33 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Flake Amdt. No. 52),Motion to Waive All Applicable Budgetary Discipline Re: Flake Amdt. No. 52,"To strengthen Social Security and Medicare without raiding it to pay for new Government programs, like Obamacare, that have failed Americans by increasing premiums and reducing affordable health care options, to reform Medicaid without prioritizing able-bodied adults over the disabled, and to return regulation of insurance to State governments.","Motion Rejected (31-67, 3/5 majority required)",'3/5',31,19,0,2,0,46,0,0,0,2,0,0,31,67,0,2,
6,115,1,,"January 10, 2017,  03:05 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Sanders Amdt. No. 19),Motion to Waive All Applicable Budgetary Discipline Re: Sanders Amdt. No. 19,"To prevent the Senate from breaking Donald Trump's promise that ""there will be no cuts to Social Security, Medicare, and Medicaid"".","Motion Rejected (49-49, 3/5 majority required)",'3/5',1,49,0,2,46,0,0,0,2,0,0,0,49,49,0,2,
7,115,1,,"January 11, 2017,  06:21 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Nelson Amdt. No. 13),Motion to Waive All Applicable Budgetary Discipline Re: Nelson Amdt. No. 13,To create a point of order against legislation that would repeal health reforms that closed the prescription drug coverage gap under Medicare.,"Motion Rejected (47-51, 3/5 majority required)",'3/5',0,51,0,1,45,0,0,1,2,0,0,0,47,51,0,2,
8,115,1,,"January 11, 2017,  06:52 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: King Amdt. No. 60),Motion to Waive All Applicable Budgetary Discipline Re: King Amdt. No. 60,To create a point of order against legislation that would reduce health insurance access and affordability for individuals based on their occupation.,"Motion Rejected (48-50, 3/5 majority required)",'3/5',1,50,0,1,45,0,0,1,2,0,0,0,48,50,0,2,
9,115,1,,"January 11, 2017,  07:12 PM",On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Barrasso Amdt. No. 173),Motion to Waive All Applicable Budgetary Discipline Re: Barrasso Amdt. No. 173,To establish a deficit-neutral reserve fund relating to rural health and repealing and replacing Obamacare.,"Motion Rejected (51-47, 3/5 majority required)",'3/5',51,0,0,1,0,45,0,1,0,2,0,0,51,47,0,2,
10,115,1,,"January 11, 2017,  07:37 PM",On the Motion (Motion to Waive the C.B.A. Re: Manchin Amdt. No. 64),Motion to Waive the C.B.A. Re: Manchin Amdt. No. 64,To create a point of order against legislation that would harm rural hospitals and health care providers.,"Motion Rejected (51-47, 3/5 majority required)",'3/5',4,47,0,1,45,0,0,1,2,0,0,0,51,47,0,2,
