Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
1,D,102,QUORUM 1,3-Jan-1991,12:02 PM,Call of the House,None,Passed,0,0,165,0,0,0,261,0,0,0,1,0,0,0,427,0
2
3,D,102,H RES 5,3-Jan-1991,3:42 PM,On Ordering the Previous Question,RULES FOR THE 102ND CONGRESS,Passed,0,161,0,5,249,1,0,13,1,0,0,0,250,162,0,18
4,D,102,H RES 5,3-Jan-1991,4:02 PM,COMMIT WITH INSTRUCTIONS,RULES FOR THE 102ND CONGRESS,Failed,160,0,0,6,0,255,0,8,0,1,0,0,160,256,0,14
5,D,102,H RES 5,3-Jan-1991,4:21 PM,On Agreeing to the Resolution,RULES FOR THE 102ND CONGRESS,Passed,0,160,0,6,241,0,0,22,1,0,0,0,242,160,0,28
6,D,102,MOTION,12-Jan-1991,9:33 AM,On Approving the Journal,None,Passed,73,87,0,7,212,5,0,49,1,0,0,0,286,92,0,56
7,D,102,H CON RES 32,12-Jan-1991,11:15 AM,ON AGREEING TO THE RESOLUTION (BENNETT/DURBIN),TO EXPRESS THE SENSE OF CONGRESS THAT CONGRESS MUST APPROVE ANY OFFENSIVE MILITARY ACTION AGAINST IRAQ,Passed,41,126,0,0,260,5,0,2,1,0,0,0,302,131,0,2
8,D,102,H CON RES 33,12-Jan-1991,1:29 PM,ON AGREEING TO THE RESOLUTION (GEPHARDT/HAMILTON),REGARDING UNITED STATES POLICY TO REVERSE IRAQ’S OCCUPATION OF KUWAIT,Failed,3,164,0,0,179,86,0,2,1,0,0,0,183,250,0,2
9,D,102,H J RES 77,12-Jan-1991,3:51 PM,ON PASSAGE (MICHEL/SOLARZ),TO AUTHORIZE THE USE OF UNITED STATES ARMED FORCES PURSUANT TO UNITED NATIONS SECURITY COUNCIL RESOLUTION 678,Passed,164,3,0,0,86,179,0,2,0,1,0,0,250,183,0,2
10,D,102,S CON RES 2,18-Jan-1991,4:22 PM,SUSPEND THE RULES AND AGREE,SUPPORTING THE UNITED STATES PRESENCE IN THE PERSIAN GULF,Passed,156,0,0,11,243,5,6,13,0,1,0,0,399,6,6,24
11,D,102,H CON RES 41,23-Jan-1991,3:46 PM,SUSPEND THE RULES AND AGREE,CONDEMNING THE IRAQI ATTACK AGAINST ISRAEL,Passed,164,0,0,3,251,0,0,15,1,0,0,0,416,0,0,18
12,D,102,H CON RES 48,23-Jan-1991,3:55 PM,SUSPEND THE RULES AND AGREE,CONDEMNING THE TREATMENT BY THE GOVERNMENT OF IRAQ OF CAPTURED SERVICE MEMBERS OF THE U.S. AND ITS ALLIES IN THE PERSIAN GULF CONFLICT,Passed,164,0,0,3,253,0,0,13,1,0,0,0,418,0,0,16
13,D,102,H R 4,23-Jan-1991,4:02 PM,On Motion to Suspend the Rules and Pass,EXTENSION OF TIME UNDER THE INTERNAL REVENUE LAWS FOR INDIVIDUALS PERFORMING SERVICES AS PART OF THE DESERT SHIELD OPERATION,Passed,164,0,0,3,250,0,0,16,1,0,0,0,415,0,0,19
14,D,102,H R 3,23-Jan-1991,4:10 PM,On Motion to Suspend the Rules and Pass,VETERANS’ COMPENSATION AMENDMENTS OF 1991,Passed,165,0,0,2,255,0,0,11,1,0,0,0,421,0,0,13
15,D,102,H CON RES 40,23-Jan-1991,4:16 PM,SUSPEND THE RULES AND AGREE,CONDEMNING THE RECENT USE OF SOVIET MILITARY FORCE IN THE BALTIC STATES,Passed,165,0,0,2,251,0,0,15,1,0,0,0,417,0,0,17
16,D,102,H R 556,29-Jan-1991,2:26 PM,On Motion to Suspend the Rules and Pass,AGENT ORANGE ACT OF 1991,Passed,160,0,0,7,251,0,0,15,1,0,0,0,412,0,0,22
17,D,102,H R 555,29-Jan-1991,2:35 PM,On Motion to Suspend the Rules and Pass,SOLDIERS AND SAILORS CIVIL RELIEF ACT AMENDMENTS OF 1991,Passed,161,0,0,6,252,0,0,14,1,0,0,0,414,0,0,20
18,D,102,H R 598,30-Jan-1991,3:36 PM,On Motion to Suspend the Rules and Pass,DEPARTMENT OF VETERANS AFFAIRS PHYSICIANS’ AND DENTISTS’ COMPENSATION AND LABOR RELATIONS ACT OF 1991,Passed,163,0,0,4,235,0,0,31,1,0,0,0,399,0,0,35
19,D,102,H R 180,5-Feb-1991,1:35 PM,On Motion to Suspend the Rules and Pass,VETERANS EDUCATION AND EMPLOYMENT AMENDMENTS OF 1991,Passed,157,0,0,10,244,0,0,22,1,0,0,0,402,0,0,32
20,D,102,H R 154,5-Feb-1991,1:44 PM,On Motion to Suspend the Rules and Pass,"TRANSFER OF AN EXISTING U.S. MEMORIAL, PERSHING HALL, TO THE DEPARTMENT OF VETERANS AFFAIRS",Passed,160,0,0,7,244,0,0,22,1,0,0,0,405,0,0,29
21,D,102,H R 232,6-Feb-1991,3:32 PM,SUSPEND RULES AND PASSAS AMENDED,VETERANS’ HOUSING AND MEMORIAL AFFAIRS AMENDMENTS OF 1991,Passed,162,0,0,5,248,0,0,18,1,0,0,0,411,0,0,23
22,D,102,H CON RES 44,20-Feb-1991,3:13 PM,SUSPEND THE RULES AND AGREE,DISPLAY OF AMERICAN FLAG IN SHOW OF SUPPORT FOR U.S. TROOPS IN THE PERSIAN GULF,Passed,158,0,0,8,250,0,0,16,1,0,0,0,409,0,0,24
23,D,102,H R 586,21-Feb-1991,1:15 PM,On Motion to Suspend the Rules and Pass,REPORTS ON THE COST OF THE PERSIAN GULF OPERATIONS,Passed,149,1,0,16,243,0,0,23,1,0,0,0,393,1,0,39
24,D,102,H RES 19,21-Feb-1991,1:37 PM,MOTION TO TABLE,RESOLUTION OF INQUIRY ON THE PERSIAN GULF CRISIS,Passed,150,0,0,16,239,0,0,27,1,0,0,0,390,0,0,43
25,D,102,S J RES 55,27-Feb-1991,3:56 PM,On Motion to Suspend the Rules and Pass,COMMEMORATING THE 200TH ANNIVERSARY OF U.S./PORTUGESE DIPLOMATIC RELATIONS,Passed,158,0,0,8,252,0,0,14,1,0,0,0,411,0,0,22
26,D,102,H RES 88,28-Feb-1991,12:32 PM,On Agreeing to the Resolution,CONDEMNING CUBA’S HUMAN RIGHTS VIOLATIONS AND COMMENDING THE UN FOR ITS ATTENTION TO THE HUMAN RIGHTS SITUATION IN CUBA,Passed,156,0,0,10,247,1,0,18,1,0,0,0,404,1,0,28
27,D,102,H R 707,5-Mar-1991,4:11 PM,SUSPEND THE RULES AND PASS AS AMENDED,COMMODITY FUTURES IMPROVEMENTS ACT OF 1991,Passed,154,10,0,2,240,17,1,8,1,0,0,0,395,27,1,10
28,D,102,H RES 95,5-Mar-1991,4:21 PM,SUSPEND THE RULES AND AGREE,COMMEND PRESIDENT AND U.S. AND ALLIED TROOPS IN PERSIAN GULF,Passed,164,0,0,2,246,7,4,9,0,1,0,0,410,8,4,11
29,D,102,H R 991,6-Mar-1991,1:58 PM,SUSPEND THE RULES AND PASS AS AMENDED,DEFENSE PRODUCTION ACT EXTENSION AND AMENDMENTS OF 1991,Passed,161,0,0,5,254,0,0,12,1,0,0,0,416,0,0,17
30,D,102,H R 1281,7-Mar-1991,1:54 PM,On Agreeing to the Amendment,None,Failed,11,151,0,4,13,245,0,8,0,1,0,0,24,397,0,12
31,D,102,QUORUM 31,7-Mar-1991,3:21 PM,Call of the House,None,Passed,0,0,161,5,0,0,250,16,0,0,0,1,0,0,411,22
32,D,102,H R 1281,7-Mar-1991,3:30 PM,On Agreeing to the Amendment,None,Failed,91,71,0,4,14,243,0,9,0,1,0,0,105,315,0,13
33,D,102,H R 1281,7-Mar-1991,5:23 PM,On Agreeing to the Amendment,None,Failed,154,6,0,6,23,233,0,10,0,1,0,0,177,240,0,16
34,D,102,H R 1281,7-Mar-1991,6:26 PM,On Agreeing to the Amendment,None,Failed,135,25,0,6,38,218,0,10,0,1,0,0,173,244,0,16
